"DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","ON STREET NAME","CROSS STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2"
"08/24/2015","19:40","MANHATTAN",10016,40.7464777,-73.9838968,"EAST 32 STREET","MADISON AVENUE",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",3283224,"PASSENGER VEHICLE","PASSENGER VEHICLE"
"08/24/2015","19:55","MANHATTAN",10019,40.7679171,-73.9857147,"9 AVENUE","WEST 57 STREET",0,0,0,0,0,0,0,0,"Fatigued/Drowsy","Fatigued/Drowsy",3283781,"TAXI","PASSENGER VEHICLE"
"08/24/2015","20:41","MANHATTAN",10026,40.8015285,-73.952557,"WEST 114 STREET","SAINT NICHOLAS AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283829,"PASSENGER VEHICLE","PASSENGER VEHICLE"
"08/24/2015","21:10","MANHATTAN",10021,40.7684858,-73.9555012,"1 AVENUE","EAST 73 STREET",1,0,0,0,1,0,0,0,"Other Vehicular","Other Vehicular",3284476,"PASSENGER VEHICLE","BICYCLE"
"08/24/2015","21:13","MANHATTAN",10033,40.8461403,-73.9342328,"AUDUBON AVENUE","WEST 177 STREET",1,0,0,0,0,0,1,0,"Lost Consciousness","Unspecified",3283853,"PASSENGER VEHICLE","MOTORCYCLE"
"08/24/2015","21:17","MANHATTAN",10022,40.7635887,-73.9714096,"EAST 59 STREET","MADISON AVENUE",0,0,0,0,0,0,0,0,"Outside Car Distraction","Unspecified",3283792,"TAXI","TAXI"
"08/24/2015","21:34","MANHATTAN",10035,40.8089583,-73.9404033,"WEST 129 STREET","5 AVENUE",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",3284516,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE"
"08/24/2015","22:24","MANHATTAN",10002,40.7150376,-73.9968076,"BAYARD STREET","BOWERY",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",3283708,"PASSENGER VEHICLE","UNKNOWN"
"08/24/2015","23:45","MANHATTAN",10128,40.7820076,-73.951661,"3 AVENUE","EAST 91 STREET",0,0,0,0,0,0,0,0,"Other Vehicular","Unspecified",3283793,"TAXI","OTHER"
"08/24/2015","23:45","MANHATTAN",10022,40.7570075,-73.9638721,"EAST 55 STREET","1 AVENUE",1,0,0,0,1,0,0,0,"Passenger Distraction","Unspecified",3283767,"TAXI","BICYCLE"
"08/24/2015","23:50","MANHATTAN",10019,40.7678891,-73.9815125,"CENTRAL PARK SOUTH","COLUMBUS CIRCLE",0,0,0,0,0,0,0,0,"Backing Unsafely","Unspecified",3283787,"TAXI","SPORT UTILITY / STATION WAGON"
"08/24/2015","2:42","MANHATTAN",10032,40.8384262,-73.9416888,"BROADWAY","WEST 164 STREET",2,0,0,0,0,0,2,0,"Other Vehicular","Other Vehicular",3283277,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON"
"08/24/2015","5:15","MANHATTAN",10029,40.7992856,-73.9453602,"EAST 115 STREET","MADISON AVENUE",0,0,0,0,0,0,0,0,"Outside Car Distraction","Unspecified",3283259,"OTHER","VAN"
"08/24/2015","5:50","MANHATTAN",10013,40.7155838,-74.0030301,"LAFAYETTE STREET","WORTH STREET",1,0,1,0,0,0,0,0,"Traffic Control Disregarded",,3283200,"PASSENGER VEHICLE",
"08/24/2015","7:28","MANHATTAN",10065,40.7628049,-73.9656703,"EAST 61 STREET","3 AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283240,"PASSENGER VEHICLE","PASSENGER VEHICLE"
"08/24/2015","7:45","MANHATTAN",10027,40.8133704,-73.9488312,"8 AVENUE","WEST 130 STREET",0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",3283851,"PASSENGER VEHICLE","PASSENGER VEHICLE"
"08/24/2015","7:50","MANHATTAN",10036,40.7597902,-73.9879256,"WEST 46 STREET","8 AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283783,"SMALL COM VEH(4 TIRES)","UNKNOWN"
"08/24/2015","8:00","MANHATTAN",10019,40.7678891,-73.9815125,"COLUMBUS CIRCLE","WEST 59 STREET",0,0,0,0,0,0,0,0,"Fatigued/Drowsy","Unspecified",3283234,"VAN","TAXI"
"08/24/2015","8:07","MANHATTAN",10016,40.748302,-73.9783384,"EAST 37 STREET","LEXINGTON AVENUE",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283227,"PASSENGER VEHICLE","LARGE COM VEH(6 OR MORE TIRES)"
"08/24/2015","8:30","MANHATTAN",10016,40.7472966,-73.974044,"EAST 38 STREET","2 AVENUE",0,0,0,0,0,0,0,0,"Fatigued/Drowsy","Unspecified",3283229,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON"
"08/24/2015","8:30","MANHATTAN",10065,40.763547,-73.9693376,"PARK AVENUE","EAST 60 STREET",1,0,0,0,0,0,1,0,"Other Vehicular","Other Vehicular",3283244,"SMALL COM VEH(4 TIRES)","PICK-UP TRUCK"
"08/24/2015","8:32","MANHATTAN",10032,40.839178,-73.9411352,"WEST 165 STREET","BROADWAY",0,0,0,0,0,0,0,0,"Unspecified",,3283278,"SPORT UTILITY / STATION WAGON","PICK-UP TRUCK"
"08/24/2015","8:45","MANHATTAN",10065,40.7611802,-73.9579029,"YORK AVENUE","EAST 63 STREET",0,0,0,0,0,0,0,0,"Other Vehicular","Other Vehicular",3283245,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON"
"08/24/2015","8:45","MANHATTAN",10014,40.7365344,-74.0058276,"BANK STREET","HUDSON STREET",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283721,"PASSENGER VEHICLE","LARGE COM VEH(6 OR MORE TIRES)"
"08/24/2015","9:15","MANHATTAN",10128,40.7839374,-73.952342,"EAST 93 STREET","LEXINGTON AVENUE",0,0,0,0,0,0,0,0,"Other Vehicular",,3283247,"VAN","SPORT UTILITY / STATION WAGON"
"08/24/2015","9:15","MANHATTAN",10028,40.777874,-73.9517434,"EAST 86 STREET","2 AVENUE",1,0,0,0,0,0,1,0,"Prescription Medication","Other Vehicular",3283246,"VAN","LIVERY VEHICLE"
"08/24/2015","9:30","MANHATTAN",10022,40.7602226,-73.967462,"EAST 57 STREET","3 AVENUE",1,0,1,0,0,0,0,0,"Unspecified",,3283765,"UNKNOWN",
"08/24/2015","9:30","MANHATTAN",10002,40.7212488,-73.9922364,"CHRYSTIE STREET","RIVINGTON STREET",0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",3283201,"LIVERY VEHICLE","VAN"
"08/24/2015","9:30","MANHATTAN",10018,40.7583388,-73.9964084,"10 AVENUE","WEST 40 STREET",0,0,0,0,0,0,0,0,"Turning Improperly","Turning Improperly",3283738,"SMALL COM VEH(4 TIRES)","PASSENGER VEHICLE"
"08/24/2015","9:30","MANHATTAN",10002,40.7203071,-73.9891124,"RIVINGTON STREET","ORCHARD STREET",1,0,0,0,1,0,0,0,"Physical Disability","Unspecified",3283207,"SPORT UTILITY / STATION WAGON","BICYCLE"
"08/24/2015","9:45","MANHATTAN",10040,40.8650779,-73.9281077,"THAYER STREET","BROADWAY",0,0,0,0,0,0,0,0,"Unspecified","Unspecified",3283858,"SPORT UTILITY / STATION WAGON","VAN"
"08/24/2015","9:48","MANHATTAN",10016,40.7406437,-73.9757968,"1 AVENUE","EAST 29 STREET",0,0,0,0,0,0,0,0,"Fatigued/Drowsy","Unspecified",3283214,"LIVERY VEHICLE","SMALL COM VEH(4 TIRES)"
